Category1,Category2,Category3,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug
A,X,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,5,0,0,570,2061,13822,16730,13178,9814,10166,6495,27470,57135,24230,22576,25627,21283,21486,31879,25246,27515
A,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445387,409590,446587,313901,294959,371677,311436,342033,386121,285165,301804,508148,278061,310467,358239,248998,232080,302672,267015,322004,374625,297737,452887,705445,258244,298029,339785,233427,224777,291458,241622,293511,356579,264255,337553,679924,289284,319954,351710,253872,261584,340386,275873,332474
A,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734161,685919,789018,509878,488771,640080,466612,598391,639250,410131,556360,984537,427590,498764,575448,378067,381543,481508,390322,474441,542372,394104,442740,813362,395002,470135,464293,348825,327153,388646,311547,387380,448017,294690,366460,715109,305632,315760,369734,261899,239278,297683,250246,292801
A,A,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35450,32177,40849,25757,27031,39493,30014,37560,39276,26281,30080,67193,23758,39006,41006,24468,23331,37436,28907,34107,34987,19505,25061,65220,25691,27354,28577,21515,22181,23848,30147,24904,25861,18881,25321,48449,20415,23348,27214,18392,23174,20951,17712,18621
A,A,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246672,1107478,1241805,1018131,873597,1039250,848263,1032367,1289421,871029,857456,1106940,948570,986318,1127179,899062,873266,992220,836916,1009794,1205252,888900,816743,1078982,1012325,1066576,1110060,793173,733613,1040524,806532,1004534,1201303,887926,832857,1118580,1039288,951418,1069458,778416,750565,1032063,821724,986055
A,A,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8293,6801,8625,8052,6024,7174,5694,6528,7455,5773,6799,13057,6740,7245,8547,6175,6088,8118,7051,7402,9027,6665,8215,12760,6995,7548,9670,6759,6878,7848,6214,7054,8316,6626,7199,9958,7357,8066,9647,7679,7839,9842,7123,7983
A,A,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17043472,16203433,19606128,14135421,13672008,18116531,15533781,17773628,18697087,13795961,21857456,36084063,13062680,16428620,19056461,14442319,13330831,18230596,17226634,19699850,19519782,14549714,23710726,39855660,15188787,17602701,20652227,14888157,15413174,20356333,18881569,23162171,21865338,15627750,25178979,39937550,14745802,17904538,21483559,15900085,16247858,21614813,20341383,26216774
A,A,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40310,31357,41470,31400,27270,27153,21959,22648,24712,20468,22775,38975,23501,22702,30173,20822,19374,27146,25795,24715,29417,24541,39256,54470,29173,40574,35143,24427,22775,30126,23454,29869,34541,26160,31431,45076,29116,31792,31220,23019,17230,20003,21180,24126
A,A,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,1236,1399,654,735,1566,1393,547,2047,2169,3218,7449,4652,2731,3213,2077,421,856,892,882,152,644,725,1343,613,628,1008,441,7438,23729,18530,19498,23531,17015,17664,30782,16083,22751,24185,19797,16093,17400,10889,13164
A,B,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319517,286966,314699,231806,230083,333100,271920,299750,348196,288703,392679,779088,316610,408406,410367,274347,289206,386340,373050,335632,408996,331930,553219,1072672,352565,360659,586323,337405,294759,464033,399009,422908,412798,311084,593562,1190068,398082,431245,504161,344846,368525,589723,416546,492913
A,B,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65495,60240,61737,42561,44333,62756,54613,60882,74412,56524,88228,174607,68389,87643,89059,68577,66813,89791,85090,87414,117048,81125,139512,286770,100136,111489,129813,84837,86993,123318,107325,111616,126644,93070,164828,316311,112155,130564,141368,102155,97775,139509,110545,118974
A,B,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469325,392517,502374,305681,308040,428602,342176,373810,411118,347010,489305,991836,392052,452230,551665,406561,367682,559389,487638,448906,533276,374310,674606,1267211,448890,472508,598248,440621,411269,598091,505552,538560,582087,407183,768313,1390637,543789,573974,614277,469264,483364,756001,602704,670590
A,C,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956402,933713,974463,650066,620929,766023,683457,751612,894329,680494,943100,1244070,708683,906775,1053858,828419,633212,772040,691895,745999,922451,725089,978041,1295378,721338,849348,871380,597058,566701,717526,622300,741091,796143,613470,842547,1168420,620467,736245,785630,575230,556498,683815,570541,665876
A,C,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834958,853173,887377,600133,623011,813397,776620,957051,896251,633605,1226243,1536219,603820,835718,844671,622792,626433,795337,792226,1035867,955771,650756,1226462,1636712,650399,817391,850670,608180,643964,795468,743806,1083293,965092,612730,1140668,1653718,617649,771306,803111,605105,604519,795786,712382,1012667
A,C,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713930,2542454,2660728,1907625,2379282,3080144,3224878,3394742,4364957,3782080,14128671,17706565,3192247,4956602,4203325,2782818,2898812,3430063,3216239,3461445,4228803,2966202,16570680,16012143,2597586,4277645,4222646,2482667,2994750,3484683,2808041,2914893,3416990,2396671,10715665,13686432,1840053,3333653,3324171,2073291,2196487,2663164,2071524,2255140
A,C,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4106273,3557565,3970685,3132064,3411462,3473189,2685240,2558772,3003615,2909287,9066096,9800262,2274729,2934743,2966648,2148019,2465328,3654237,2329037,2962982,2802640,2603357,6876246,7408985,1565063,2058759,2269806,1487447,1657348,2253697,1737248,1504854,1785035,1190446,4877800,6738023,1291496,1376122,1768075,1757532,1686084,1891333,1432650,1511162
A,C,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4196,7350,6216,6506,13825,3149,1389,3520,8418,4502,42081,47427,-2503,5249,8586,6729,4934,13779,5860,5148,7187,6231,16195,60534,5961,3006,9227,7243,4797,3998,1673,1007,2813,2726,1190,2350,356,717,2579,987,524,921,1633,402
A,C,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99635,159773,154212,107005,117990,172815,177049,249174,323100,262768,1005389,894600,346778,304611,289595,198014,165438,229653,226668,292174,308046,172264,791882,994258,200316,293325,251831,173456,315297,364767,249371,320235,302032,212490,720738,915320,214076,353952,429489,199609,197262,283414,177526,180192
A,D,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3935613,3371752,3740123,2511176,2404304,3376859,2629389,2891573,3497236,2708747,3197713,4289498,2723711,3136214,3463671,2306619,2217653,3038648,2438913,2713823,3215620,2478701,2823700,4146995,2597806,2939458,3169292,2206567,2138362,2866810,2198258,2446366,3041903,2367044,2793613,3679454,2310953,2548738,2812033,1986398,2004808,2634984,2076988,2399623
A,E,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327114,298885,389278,355063,520331,782882,628759,576375,640056,632935,1706453,3688210,600909,799393,1024883,868115,965442,1498936,1151332,1132559,1243079,1046173,2823763,6023218,1072053,1349682,1647360,1285270,1496123,2189921,1653753,1617402,1728332,1296849,2889028,7068157,1113877,1492482,1759233,1369538,1647726,2297893,1681710,1662542
A,F,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3602288,3265887,3842780,3032869,3018797,3910731,2965891,3209019,3385408,2332322,3591106,7757365,1686919,2189899,2635529,1956492,1924049,2644091,2543997,2526419,2590268,1879695,2923541,6329930,1517828,1970067,2222233,1556138,1687794,2222735,1708744,1798013,1928317,1315444,1498727,3666764,887895,1154624,1295116,935543,947917,1048502,993385,874113
A,F,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183961,161743,200043,152111,179334,249036,180733,212360,223680,187339,397835,1008476,147532,187336,217043,150200,172550,231456,171898,191957,198620,157559,329868,876888,154685,175469,206167,139353,156370,206154,159263,185261,197621,180350,411239,841022,158119,191340,218419,175520,197528,241379,184698,212986
A,G,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152315,156300,207508,159969,146604,171657,150030,145006,172582,123361,127777,146083,121583,133230,166314,130368,136370,162210,158117,141872,172499,120439,124687,141925,131205,126527,165565,126714,138453,180424,138254,134597,172416,123448,121380,154305,137888,156586,162620,121954,131634,157884,129732,122266
A,G,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533563,1322306,1560659,1198078,1138658,1439379,1182929,1231285,1459955,1140532,1172973,1439120,1211070,1229137,1462976,1110605,1075241,1259748,1054259,1109321,1391906,1090102,1030555,1296283,1061893,1093425,1290646,1013854,989120,1330237,1111088,1099433,1414264,1044191,1038988,1288338,1103216,1131801,1278840,1007211,1000105,1300529,1100678,1137535
A,G,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927212,780124,896681,627815,597288,781047,651845,720133,852609,662491,723149,1015320,765888,836744,950578,706266,676555,872360,727728,807299,964142,728394,841321,1201416,881674,922001,1073401,767073,764501,959330,795270,927419,1078358,842873,898449,1229376,960694,985673,1155604,847181,854133,989021,789382,848963
