,id,item,rating
0,0,Q114_2,1
1,0,Q137,1
2,0,Q129,4
3,0,Q116__1,4
4,1,Q35,1
5,1,Q111,1
6,1,Q107__1,3
7,1,Q120,5
8,1,Q114,5
9,1,Q108__1,5
10,1,Q50,5
11,1,Q54_1,5
12,1,Q54_2,5
13,1,Q54_3,5
14,1,Q54_4,5
15,1,Q54_5,5
16,2,Q126,2
17,2,Q130,4
18,2,Q108,4
19,2,Q110,4
20,2,Q141,4
21,3,Q137,1
22,3,Q107__1,3
23,3,Q116__1,4
24,3,Q129,5
25,3,Q114_1,5
26,3,Q114_2,5
27,3,Q114_3,5
28,3,Q108__1,5
29,3,Q50,5
30,3,Q54_1,5
31,3,Q54_2,5
32,3,Q54_3,5
33,3,Q54_4,5
34,3,Q54_5,5
35,4,Q53_1,1
36,4,Q53_2,1
37,4,Q15,1
38,4,Q53_3,3
39,4,Q53_4,3
40,4,Q40,3
41,4,Q55,4
42,5,Q108,1
43,5,Q141,1
44,5,Q107__1,4
45,5,Q48,4
46,5,Q130,5
47,5,Q106_2,5
48,5,Q126,5
49,5,Q114,5
50,5,Q108__1,5
51,5,Q50,5
52,5,Q54_1,5
53,5,Q54_2,5
54,5,Q54_3,5
55,5,Q54_4,5
56,5,Q54_5,5
57,6,Q55,4
58,7,Q107__1,2
59,7,Q120,1
60,7,Q35,1
61,7,Q111,1
62,7,Q114,4
63,7,Q108__1,4
64,7,Q48,4
65,7,Q54_1,4
66,7,Q54_2,4
67,7,Q54_3,4
68,7,Q54_4,4
69,7,Q54_5,4
70,7,Q50,5
71,8,Q137,1
72,8,Q53_4,3
73,8,Q116__1,4
74,8,Q53_1,5
75,8,Q53_2,5
76,8,Q53_3,5
77,8,Q129,5
78,8,Q114_1,5
79,8,Q114_2,5
80,8,Q114_3,5
81,9,Q129,1
82,9,Q114_1,1
83,9,Q114_2,1
84,9,Q114_3,1
85,9,Q137,1
86,9,Q116__1,3
87,10,Q107,1
88,10,Q12,3
89,10,Q107__1,3
90,10,Q8,4
91,10,Q11,4
92,10,Q9,5
93,10,Q114,5
94,10,Q108__1,5
95,10,Q50,5
96,10,Q54_1,5
97,10,Q54_2,5
98,10,Q54_3,5
99,10,Q54_4,5
100,10,Q54_5,5
101,11,Q137,1
102,11,Q116__1,4
103,11,Q55,5
104,11,Q129,5
105,11,Q114_1,5
106,11,Q114_2,5
107,11,Q114_3,5
108,12,Q35,1
109,12,Q111,1
110,12,Q53_4,3
111,12,Q120,5
112,13,Q35,1
113,13,Q111,1
114,13,Q107,1
115,13,Q12,2
116,13,Q11,3
117,13,Q120,5
118,13,Q8,5
119,13,Q9,5
120,14,Q35,1
121,14,Q111,1
122,14,Q107,1
123,14,Q11,3
124,14,Q8,4
125,14,Q12,4
126,14,Q120,5
127,14,Q9,5
128,15,Q55,3
129,15,Q107__1,3
130,15,Q53_1,5
131,15,Q53_2,5
132,15,Q53_3,5
133,15,Q114,5
134,15,Q108__1,5
135,15,Q50,5
136,16,Q108,1
137,16,Q141,1
138,16,Q35,4
139,16,Q37_4,4
140,16,Q111,4
141,16,Q112__1,4
142,16,Q130,5
143,16,Q106_1,5
144,16,Q106_2,5
145,16,Q106_3,5
146,16,Q126,5
147,16,Q120,5
148,16,Q37_1,5
149,16,Q37_2,5
150,16,Q37_3,5
151,16,Q37_5,5
152,17,Q53_3,1
153,17,Q55,1
154,17,Q53_2,3
155,17,Q53_4,3
156,17,Q53_1,5
157,18,Q109,1
158,18,Q96,4
159,18,Q100,4
160,18,Q104,4
161,18,Q138,4
162,18,Q55,5
163,18,Q131,5
164,19,Q109,1
165,19,Q138,1
166,19,Q35,1
167,19,Q111,1
168,19,Q96,3
169,19,Q100,4
170,19,Q104,4
171,19,Q134,4
172,19,Q131,5
173,19,Q102_1,5
174,19,Q102_2,5
175,19,Q102_3,5
176,19,Q102_4,5
177,19,Q120,5
178,20,Q3,4
179,20,Q5,4
180,20,Q6_1,4
181,20,Q6_2,4
182,20,Q6_3,4
183,20,Q6_4,4
184,20,Q7,4
185,20,Q60,4
186,21,Q108,1
187,21,Q141,1
188,21,Q53_1,5
189,21,Q53_2,5
190,21,Q53_3,5
191,21,Q53_4,5
192,21,Q55,5
193,21,Q130,5
194,21,Q106_1,5
195,21,Q106_2,5
196,21,Q106_3,5
197,21,Q126,5
198,22,Q137,1
199,22,Q116__1,3
200,22,Q9,3
201,22,Q8,4
202,22,Q11,4
203,22,Q12,4
204,22,Q107,4
205,22,Q105,4
206,22,Q106,4
207,22,Q129,5
208,23,Q108,1
209,23,Q141,1
210,23,Q35,1
211,23,Q111,1
212,23,Q106_1,3
213,23,Q120,4
214,23,Q130,5
215,23,Q126,5
216,24,Q91_1,3
217,24,Q91_2,3
218,24,Q95,3
219,24,Q132,4
220,24,Q94,4
221,24,Q135,4
222,24,Q115,4
223,24,Q91_3,5
224,25,Q116__1,1
225,25,Q137,1
226,25,Q129,2
227,26,Q35,1
228,26,Q111,1
229,26,Q53_1,3
230,26,Q53_4,3
231,26,Q120,5
232,27,Q137,1
233,27,Q116__1,4
234,27,Q129,5
235,27,Q114_1,5
236,27,Q114_2,5
237,27,Q114_3,5
238,28,Q91_1,1
239,28,Q91_2,1
240,28,Q91_3,1
241,28,Q120,1
242,28,Q35,1
243,28,Q111,1
244,28,Q94,2
245,28,Q132,3
246,29,Q105,3
247,29,Q8,4
248,29,Q11,4
249,29,Q12,4
250,29,Q107,4
251,29,Q106,4
252,29,Q9,5
253,30,Q137,1
254,30,Q107__1,3
255,30,Q116__1,4
256,30,Q114,4
257,30,Q48,4
258,30,Q129,5
259,30,Q114_1,5
260,30,Q114_2,5
261,30,Q114_3,5
262,30,Q108__1,5
263,30,Q50,5
264,30,Q54_1,5
265,30,Q54_2,5
266,30,Q54_3,5
267,30,Q54_4,5
268,30,Q54_5,5
269,31,Q50,2
270,31,Q35,1
271,31,Q111,1
272,31,Q52,2
273,31,Q114,3
274,31,Q107__1,3
275,31,Q120,5
276,31,Q108__1,5
277,32,Q107__1,2
278,32,Q35,1
279,32,Q111,1
280,32,Q114,2
